period_start,period_type,product_id,product_name,category,profile_mean_quantity,seasonal_month_mean_quantity,overall_quantity,overall_transactions,predicted_movement_level,probability_fast_moving,probability_medium_moving,probability_slow_moving,movement_confidence,movement_score
2026-01-01,month,2048,Edinborough Oyster Sauce 210g,Cooking Essentials,66.5,119.5,1596,380,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2049,Mity Sesame Oil 200ml,Cooking Essentials,10.107142857142858,26.0,283,66,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2051,Motha Jelly (apple)200g,Snacks & Confectionery,30.625,27.5,735,247,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2055,Maggi Coconut Milk Powder 25g,Dairy & Chilled,51.291666666666664,51.5,1231,274,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2056,Maggi Coconut Milk Powder 125g,Dairy & Chilled,320.25,479.0,7686,1804,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2058,Maggi Coconut Milk Powder 1kg,Dairy & Chilled,17.12,17.0,428,111,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2059,Renuka Coconut Milk Powder 300g,Dairy & Chilled,127.91666666666667,177.5,3070,737,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2068,CocaCola 1050ml,General Grocery,76.45833333333333,90.0,1835,954,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2069,CocaCola 1.5L,General Grocery,77.41666666666667,83.0,1858,957,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2070,Sprite 250ml,Beverages,27.833333333333332,32.0,668,243,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2096,Elephant House Ginger Beer 500ml,Cooking Essentials,8.11111111111111,17.0,219,56,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2104,Kandos Milk Choco 10g,Dairy & Chilled,32.833333333333336,46.0,788,406,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2126,Sunlight 2in1 (Rose) 200g,Cleaning & Household,27.708333333333332,50.5,665,388,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2130,Prima Pittu Flour 1kg,Staples & Dry Groceries,57.125,50.0,1371,314,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2132,Prima Family Flour 1kg,Staples & Dry Groceries,7.083333333333333,16.0,170,45,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2134,Asoka Red Rice Flour 900g,Staples & Dry Groceries,43.11538461538461,53.0,1121,253,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2141,Mini Chips (curry flavour)27g,Cooking Essentials,67.91666666666667,112.0,1630,401,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2162,Wijaya Chilli Pieces 50g,Cooking Essentials,42.791666666666664,56.5,1027,243,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2164,Wijaya Chilli Pieces 250g,Cooking Essentials,42.541666666666664,58.5,1021,243,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2165,Wijaya Chilli Pieces 500g,Cooking Essentials,10.36,15.5,259,57,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2167,Wijaya Chilli Powder 100g,Cooking Essentials,13.125,27.0,315,74,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2170,Wijaya Curry Powder 50g,Cooking Essentials,146.875,247.5,3525,835,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2171,Wijaya Curry Powder 100g,Cooking Essentials,62.791666666666664,55.5,1507,351,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2172,Wijaya Curry Powder 250g,Cooking Essentials,188.83333333333334,228.0,4532,1028,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2176,Wijaya Roasted Curry Powder 50g,Cooking Essentials,77.625,104.5,1863,430,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2190,Freelan Meat Curry Powder 250g,Cooking Essentials,68.75,110.5,1650,399,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2194,Freelan Chilli  Powder 100g,Cooking Essentials,81.33333333333333,65.0,1952,461,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2196,Freelan Chilli  Pieces 100g,Cooking Essentials,12.28,21.0,307,64,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2203,Turmeric Paste 50g,Cooking Essentials,9.620689655172415,30.5,279,63,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2204,Goraka Paste 100g,General Grocery,29.25,43.5,702,357,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2205,Goraka Paste 250g,General Grocery,40.458333333333336,44.5,971,493,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2261,Sunquick  Orange Fruit Drink 200ml,Beverages,49.458333333333336,92.5,1187,404,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2273,Highland Dairy Ice Cream (butter scotch)1L,Personal Care,27.125,26.0,651,391,Fast Moving,1.0,0.0,0.0,1.0,1.0
2026-01-01,month,2276,T.R.M. Kekulu Rice 1kg,Staples & Dry Groceries,81.75,95.5,1962,463,Fast Moving,1.0,0.0,0.0,1.0,1.0
