rule_id,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_items,consequent_items,all_items,rule_strength,antecedent_product_ids,consequent_product_ids,antecedent_product_names,consequent_product_names
3565,"frozenset({'2009', '2007'})",frozenset({'2336'}),0.0028952289040352253,0.01483804813318053,0.0026539598286989567,0.9166666666666667,61.77811653116532,1.0,0.0026110002828643067,11.821943422401844,0.9866696729560441,0.176,0.9154115390110003,0.5477642276422765,"['2007', '2009']",['2336'],"['2007', '2009', '2336']",0.3830554352533564,"2007,2009",2336,Marina Coconut Oil 200ml|Marina Coconut Oil 675ml,White Rice Flour 400g
3566,"frozenset({'2009', '2007'})",frozenset({'3006'}),0.0028952289040352253,0.03190783521322155,0.0026539598286989567,0.9166666666666667,28.72857592942659,1.0,0.0025615793419244445,11.617105977441351,0.9679940167508978,0.08255159474671668,0.913920041536864,0.49992123503465663,"['2007', '2009']",['3006'],"['2007', '2009', '3006']",0.3830554352533564,"2007,2009",3006,Marina Coconut Oil 200ml|Marina Coconut Oil 675ml,Spinner Sugar Free 250ml
3567,frozenset({'1060'}),frozenset({'2683'}),0.01803486338138609,0.017914228843717957,0.010193618432957356,0.5652173913043478,31.551310203484114,1.0,0.009870537763178016,2.2587972736594484,0.986089586089586,0.3957845433255269,0.5572865207244062,0.5671204801639584,['1060'],['2683'],"['1060', '2683']",0.38264400173235164,1060,2683,P.Baby Cologne (magic) 50ml,Lifebuoy Shampoo 80ml
3568,frozenset({'1060'}),frozenset({'2512'}),0.01803486338138609,0.04240303999034924,0.010193618432957356,0.5652173913043478,13.329643144288452,1.0,0.009428885399775957,2.2024730080221966,0.941967491967492,0.2028811524609844,0.5459649238117147,0.40280784216710985,['1060'],['2512'],"['1060', '2512']",0.38264400173235164,1060,2512,P.Baby Cologne (magic) 50ml,Pears Baby Soap (Aloevera) 95g
3569,"frozenset({'2336', '2010'})",frozenset({'1657'}),0.0032571325170396284,0.03534591953676337,0.002834911635201158,0.8703703703703703,24.624352167867528,1.0,0.0027197852913332997,7.441617192144967,0.9625248656130299,0.07925801011804384,0.8656206071637823,0.47528757426368345,"['2010', '2336']",['1657'],"['1657', '2010', '2336']",0.3822217410134257,"2010,2336",1657,Marina Coconut Oil 500ml|White Rice Flour 400g,Motha Icing Sugar 1kg
3570,"frozenset({'1657', '2861'})",frozenset({'2336'}),0.003739670667712166,0.01483804813318053,0.003136497979371494,0.8387096774193548,56.52425911355887,1.0,0.0030810085660017373,6.108004101574277,0.9859957805710667,0.20312499999999997,0.8362803980858068,0.5250458956202465,"['1657', '2861']",['2336'],"['1657', '2336', '2861']",0.38216760502381986,"1657,2861",2336,Motha Icing Sugar 1kg|Coconut Milk 500ml,White Rice Flour 400g
3571,"frozenset({'2336', '3006'})",frozenset({'2009'}),0.0038603052053803005,0.024368176608963146,0.003196815248205561,0.8281249999999999,33.98387221534653,1.0,0.003102746649196354,5.676403336093301,0.9743355097424297,0.12771084337349398,0.8238321097372487,0.47965655940594054,"['2336', '3006']",['2009'],"['2009', '2336', '3006']",0.3817886530965786,"2336,3006",2009,White Rice Flour 400g|Spinner Sugar Free 250ml,Marina Coconut Oil 675ml
3572,frozenset({'1822'}),"frozenset({'1996', '1516'})",0.022015803124434526,0.010615839314795827,0.010555522045961758,0.4794520547945205,45.163838729763384,1.0,0.010321805817606581,1.9006590455268393,0.9998713633720417,0.47814207650273227,0.47386670831179395,0.7368851183063511,['1822'],"['1516', '1996']","['1516', '1822', '1996']",0.38175617150281504,1822,"1516,1996",CBL Sun Cracker 95g,E/H Ice Cream (Chocolate) 80ml|KVC Tomato Sauce400g
3573,frozenset({'1822'}),"frozenset({'1516', '2928'})",0.022015803124434526,0.010615839314795827,0.010555522045961758,0.4794520547945205,45.163838729763384,1.0,0.010321805817606581,1.9006590455268393,0.9998713633720417,0.47814207650273227,0.47386670831179395,0.7368851183063511,['1822'],"['1516', '2928']","['1516', '1822', '2928']",0.38175617150281504,1822,"1516,2928",CBL Sun Cracker 95g,E/H Ice Cream (Chocolate) 80ml|Revello Dark Chocolate 100g
3574,frozenset({'1822'}),"frozenset({'1996', '2019'})",0.022015803124434526,0.010676156583629894,0.010555522045961758,0.4794520547945205,44.90867579908675,1.0,0.010320477884490926,1.900543172878816,0.9997427267440835,0.4768392370572207,0.4738346309253966,0.7340763098831359,['1822'],"['1996', '2019']","['1822', '1996', '2019']",0.38175617150281504,1822,"1996,2019",CBL Sun Cracker 95g,KVC Tomato Sauce400g|Harischandra Noodles 400g
